Year,siteID,Str,PlotID,SmpType,KMSq,nAct
2015,A01,SC,cb.1k,Area,54.87092792144464,0
2015,A02,SC,c9.1f,Area,99.99999999998093,0
2015,A03,SC,cf.1b,Area,99.99999999998093,0
2015,A04,SC,c6.1o,Cmb,100.00000000005723,22
2015,A05,SC,cb.1h,Cmb,99.99999999998093,28
2015,A06,SC,cc.1a,Cmb,99.99999999998093,134
2015,A07,SC,c7.1w,Area,85.16392664242458,0
2015,A08,SC,c8.1k,Area,99.99999999998093,0
2015,A09,SC,cf.1f,Area,66.13556284650946,0
2015,A10,SC,ci.1a,Area,100.00000000005723,0
2015,A11,SC,c4.1q,Cmb,100.00000000001907,18
2015,A12,SC,c4.1k,Area,92.27480369270837,0
2015,A17,Co,cs.15,Area,100.00000000001907,0
2015,A18,Co,co.1b,Area,99.9999999999466,0
2015,A19,Co,cg.1k,Area,67.1223820297389,0
2015,A20,Co,ck.1c,Area,99.99999999998093,0
2015,A21,Co,cr.17,Cmb,99.99999999998093,2
2015,A22,Co,cl.1d,Area,99.99999999998093,0
2015,A23,Co,c9.1m,Area,100.00000000001907,0
2015,A24,Co,ch.1d,Cmb,99.95353624591338,22
2015,A25,Co,cq.18,Area,100,0
2015,A26,Co,cl.1g,AreaOver,100.00000000001907,0
2015,A29,ND,cq.13,Area,85.54666163304842,0
2015,A30,ND,c6.18,Area,100,0
2015,A31,ND,c4.0w,Area,99.99999999998093,0
2015,A32,ND,cf.0j,Area,96.51198428061333,0
2015,A33,ND,c9.15,Area,100.00000000001907,0
2015,A34,ND,c1.19,Area,99.99999999998093,0
2015,A35,ND,cf.0y,Area,99.99999999998093,0
2015,A36,ND,c7.0q,Area,99.99999999998474,0
2015,A37,ND,cf.15,Area,100.00000000001907,0
2015,A38,ND,c9.0u,AreaOver,99.99999999998093,0
2015,A39,ND,cc.0t,AreaOver,99.99999999998093,0
2015,A40,ND,c4.0z,AreaOver,100.00000000001907,0
2015,L01,SC,ch.16,List,99.99999999998093,22
2015,L02,SC,cf.1c,List,100.00000000001907,8
2015,L03,SC,c4.1l,List,99.99999999998093,60
2015,L04,SC,c8.1c,List,99.99999999998093,42
2015,L05,SC,cg.18,List,99.99999999992752,4
2015,L06,SC,cg.1d,List,54.40369055977869,6
2015,L07,SC,cc.1h,List,99.99999999994277,16
2015,L08,SC,cd.1i,List,100.00000000001907,18
2015,L09,SC,cf.1e,List,92.32665921962221,4
2015,L10,SC,ci.19,List,100.00000000005723,4
2015,L11,SC,c9.1j,List,99.99999999998093,4
2015,L12,SC,c6.1s,List,100.00000000005723,6
2015,L13,SC,cd.1b,List,99.99999999998093,4
2015,L14,SC,c7.1n,List,99.99999999998474,52
2015,L15,SC,ca.1h,List,100.00000000001907,2
2015,L16,SC,c5.1r,List,99.9999999999466,6
2015,L17,SC,cg.1c,List,99.99999999998093,30
2015,L18,SC,c9.1e,List,100.00000000001907,50
2015,L19,SC,cf.1a,List,100.00000000001907,58
2015,L20,SC,c6.1w,List,36.88809391933593,26
2015,L21,SC,ce.1g,List,100.0000000000534,2
2015,L22,SC,c8.1i,List,99.99999999998093,70
2015,L23,SC,c5.1q,List,99.99999999998093,42
2015,L24,SC,c2.1l,List,71.90341802524448,14
2015,L25,SC,ch.17,List,100.00000000001907,10
2015,L26,SC,c6.1m,List,100.00000000005723,10
2015,L27,SC,cd.19,List,97.57301329935073,22
2015,L28,SC,cj.1a,List,100.00000000001907,12
2015,L29,SC,cb.1f,List,99.99999999998093,22
2015,L30,SC,c5.1t,List,99.9999999999466,2
2015,L31,SC,cj.18,List,44.682044481453296,4
2015,L32,SC,c6.1u,List,100.00000000003814,16
2015,L33,SC,cd.1c,List,100.00000000001907,16
2015,L34,SC,c9.1h,List,99.99999999998093,100
2015,L35,SC,cc.1c,List,99.99999999998093,12
2015,L36,SC,ca.1g,List,100.00000000005723,36
2015,L37,SC,c6.1r,List,100.00000000001526,22
2015,L38,SC,c2.1k,List,8.418847236404062,42
2015,L39,Co,ca.1n,List,100.00000000001907,2
2015,L40,Co,cb.1o,List,96.3295353986429,30
2015,L41,Co,cl.1b,List,99.99999999998093,4
2015,L42,Co,cf.1k,List,100.00000000001907,200
2015,L43,Co,ck.1g,List,99.99999999998093,60
2015,L44,Co,cc.1k,List,81.28924997256607,42
2015,L45,Co,ca.1o,List,100.00000000005723,2
2015,L46,Co,cl.1a,List,43.2082412674433,112
2015,L47,Co,ck.1b,List,72.0776489270966,2
2015,L48,Co,ch.1j,List,78.11098234557127,100
2015,L49,Co,cb.1n,List,99.99999999998093,20
2015,L50,Co,cg.1d,List,45.59630944016838,16
2015,L51,Co,cd.1j,List,57.80834660204223,14
2015,L52,Co,cn.1c,List,100.00000000001907,16
2015,L53,ND,bz.1b,List,100.00000000001907,0
2015,L54,ND,ca.19,List,100.00000000005723,32
2015,L55,ND,c5.1f,List,99.9999999999466,10
2015,L56,ND,cm.17,List,100.0000000000534,4
2015,L57,ND,c2.1j,List,99.99999999998093,2
2015,L58,ND,ci.0n,List,31.43129137555313,2
2015,L59,ND,c4.15,List,100.00000000001907,2
2015,L60,ND,c6.1j,List,94.13202391202354,24
2015,L61,ND,ck.19,List,87.0229159863243,14
2015,L62,ND,ch.0q,List,99.99999999998093,4
2015,L63,ND,c9.17,List,100.00000000001907,18
2015,L64,ND,c2.1g,List,100.00000000001907,8
2015,L65,ND,cf.16,List,88.90603791295923,6
2015,L66,ND,cn.19,ListOver,71.11153440198707,10
2023,A01,SC,cf.1b,Area,99.99999999998093,0
2023,A02,SC,cc.1a,Cmb,99.99999999998093,134
2023,A03,SC,c6.1o,Cmb,100.00000000005723,22
2023,A05,SC,c7.1w,Area,85.16392664242458,0
2023,A06,Co,c9.1m,Area,100.00000000001907,0
2023,A07,Co,co.1b,Cmb,99.9999999999466,0
2023,A08,Co,cl.1d,Area,99.99999999998093,0
2023,A09,ND,cf.0j,Area,96.51198428061333,0
2023,A10,ND,cq.13,Area,85.54666163304842,0
2023,A11,ND,c6.18,Area,100,0
2023,A13,SC,cf.19,Cmb,100.00000000001907,0
2023,A14,SC,cb.1e,Area,100.00000000001907,0
2023,A16,SC,ci.19,Cmb,100.00000000005723,4
2023,A17,SC,cd.1e,Cmb,100.00000000001907,10
2023,A18,SC,c4.1o,Cmb,100.00000000001907,0
2023,A19,Co,cg.1i,Area,99.99999999998093,0
2023,A20,Co,cp.19,Area,100.00000000001907,0
2023,A21,Co,cg.1f,Area,99.9999999999466,0
2023,A22,Co,cs.15,Area,100.00000000001907,0
2023,A23,Co,cm.1e,Cmb,100.0000000000534,0
2023,A24,Co,ca.1o,Cmb,100.00000000005723,2
2023,A25,ND,c5.0w,Area,99.9999999999466,0
2023,A26,ND,c7.17,Area,100.00000000001907,0
2023,A27,ND,cj.0w,Area,99.99999999998093,0
2023,A28,ND,c9.0o,Area,99.99999999998093,0
2023,A29,ND,c2.1c,Area,100.00000000001907,0
2023,A30,ND,co.0z,Area,74.31309702136397,0
2023,A31,SC,cd.19,CmbOver,97.57301329935073,22
2023,A32,SC,c7.1f,AreaOver,99.99999999998474,0
2023,L01,SC,c6.1w,List,36.88809391933593,26
2023,L02,SC,c9.1j,List,99.99999999998093,4
2023,L03,SC,ce.1g,List,100.0000000000534,2
2023,L04,SC,ca.1h,List,100.00000000001907,2
2023,L05,SC,cj.18,List,44.682044481453296,4
2023,L06,SC,c8.1c,List,99.99999999998093,42
2023,L08,SC,c7.1n,List,99.99999999998474,52
2023,L09,SC,cd.1c,List,100.00000000001907,16
2023,L10,SC,c8.1i,List,99.99999999998093,70
2023,L11,SC,cf.1a,List,100.00000000001907,58
2023,L12,SC,cc.1c,List,99.99999999998093,12
2023,L13,SC,c2.1l,List,71.90341802524448,14
2023,L14,SC,c9.1e,List,100.00000000001907,50
2023,L15,SC,cc.1h,List,99.99999999994277,16
2023,L16,SC,cg.18,List,99.99999999992752,4
2023,L17,SC,cf.1e,List,92.32665921962221,4
2023,L18,SC,c4.1l,List,99.99999999998093,60
2023,L19,SC,c6.1s,List,100.00000000005723,6
2023,L20,SC,ca.1g,List,100.00000000005723,36
2023,L21,SC,cb.1f,List,99.99999999998093,22
2023,L22,SC,cg.1d,List,54.40369055977869,6
2023,L23,Co,cf.1k,List,100.00000000001907,200
2023,L24,Co,cl.1b,List,99.99999999998093,4
2023,L25,Co,cg.1d,List,45.59630944016838,16
2023,L26,Co,cl.1a,List,43.2082412674433,112
2023,L27,Co,ca.1n,List,100.00000000001907,2
2023,L28,Co,ch.1j,List,78.11098234557127,100
2023,L29,Co,cd.1j,List,57.80834660204223,14
2023,L30,Co,ck.1g,List,99.99999999998093,60
2023,L31,SC,ca.1d,List,100.00000000001907,0
2023,L32,SC,ch.1b,List,99.99999999998093,4
2023,L33,SC,ce.1d,List,100.00000000001907,0
2023,L34,SC,cg.15,List,81.87116682959557,0
2023,L35,SC,c6.1r,List,100.00000000001526,22
2023,L36,SC,cc.1b,List,99.99999999994277,0
2023,L37,SC,c5.1m,List,99.99999999998093,0
2023,L38,SC,cg.16,List,98.63317811698151,0
2023,L39,SC,ch.1c,List,61.329650148562074,0
2023,L40,SC,c6.1u,List,100.00000000003814,16
2023,L41,SC,c5.1r,List,99.9999999999466,6
2023,L42,SC,c8.1g,List,99.99999999998093,0
2023,L43,SC,cf.18,List,99.30567379239196,64
2023,L44,SC,c7.1m,List,100.00000000001907,0
2023,L45,SC,ce.1e,List,100.0000000000534,0
2023,L46,SC,cc.1k,List,18.710750027415454,0
2023,L47,SC,c5.1n,List,99.9999999999466,0
2023,L48,SC,ch.16,List,99.99999999998093,22
2023,L49,SC,c7.1t,List,99.99999999998474,0
2023,L50,SC,cb.1h,List,99.99999999998093,28
2023,L51,SC,ci.1a,List,100.00000000005723,0
2023,L52,SC,cc.1f,List,99.99999999994277,0
2023,L53,Co,cb.1m,List,100.00000000001907,0
2023,L54,Co,cf.1g,List,63.802966744913576,0
2023,L55,Co,cc.1n,List,99.99999999994277,0
2023,L56,Co,cg.1h,List,99.9999999999466,0
2023,L57,Co,cc.1m,List,99.99999999998093,0
2023,L58,Co,ce.1j,List,99.99934303639809,0
2023,L59,Co,ck.1d,List,99.99999999994277,0
2023,L60,Co,cj.1c,List,99.93945205413243,0
2023,L61,Co,cc.1k,List,81.28924997256607,42
2023,L62,Co,cn.1c,List,100.00000000001907,16
2023,L63,SC,c4.1r,ListOver,98.99005168203091,0
2023,L71,ND,cf.16,List,88.90603791295923,6
2023,L72,ND,bz.1b,List,100.00000000001907,0
2023,L73,ND,c4.15,List,100.00000000001907,2
2023,L74,ND,c9.19,List,100.00000000001907,0
2023,L75,ND,c6.1c,List,100.00000000005723,0
2023,L76,Co,cj.1h,List,99.99999999998093,0
2023,L77,Co,cc.1l,List,99.99999999994277,0
2023,L79,Co,cd.1l,ListOver,99.99999999998093,0
2023,L82,ND,c8.0v,List,99.99999999998093,0
2023,L83,ND,cd.17,List,100.00000000001907,0
2023,L84,ND,c2.1l,List,24.40848684909296,0
2023,L85,ND,ca.18,List,100,0
2023,L86,ND,cd.10,List,99.99999999998093,0
2023,L87,ND,cb.17,List,100.00000000001907,0
2023,L89,ND,cg.0r,ListOver,99.99999999998093,0
